"1 Argyle St",1
"1054 Gladys St",1
"11 Denison St #7",1
"11 Tetlow St",1
"114 Falkland St #8845",1
"1149 Highfield Rd #996",1
"12 Gelling St",1
"13 Nelson Rd",1
"1346 Vandyke St",1
"143 Clark St #802",1
"1432 Rutland Ave",1
"148 Rembrandt St",1
"15 East Albert Rd",1
"1730 Seymour St",1
"18 Nimrod St",1
"180 Frodsham St",1
"19 Soho St",1
"2 Whitefield Rd",1
"2200 Nelson St #58",1
"256 Vesuvius St #159",1
"2732 Bostock St #1",1
"274 Altcar Ave",1
"28 Berwick St",1
"3 August Rd",1
"3 Burnall St",1
"3 Ivyleigh",1
"3186 Naylor St",1
"328 Pallas St",1
"3380 Alexander St",1
"35 Walton Lane",1
"3612 Bixteth St",1
"363 Vandries St",1
"37 Langham St #948",1
"371 Oakleigh",1
"3768 Hey Green Rd",1
"3833 Sidney Rd",1
"39 Hooton Place",1
"4 Burnall St",1
"4 Mather St",1
"4 Sherwood St",1
"40 Cairo St",1
"41 Benedict St",1
"4313 Princes Park Terrace",1
"4565 Blackstock St",1
"4679 Curzon St",1
"4706 Chapel Place #5993",1
"476 Starkie St",1
"484 Barry St",1
"5 Chadwick St #7",1
"5 Howe St",1
"5 Hygeia St",1
"5 Webb St #8",1
"505 Exeter Rd",1
"513 Bailey St",1
"5147 Blackstone St",1
"526 Liffey St #759",1
"5344 Bengel St #5",1
"5410 Lawton St",1
"553 Picton Rd",1
"59 Charles St",1
"59 Westminster Rd",1
"592 Catharine St",1
"6 Cannock St",1
"623 Cornhill",1
"6305 Elstow St",1
"64 Croyland St",1
"645 Lister Drive",1
"65 Rankin St",1
"658 Lake St",1
"661 Great Crosshall St",1
"675 Falstaff St #170",1
"6996 Wrenbury St",1
"7 Carolina St",1
"7 Hey Green Rd #4",1
"7 Jolliffe St",1
"7 St Edmonds Rd",1
"7 Varthen St",1
"70 Foster St",1
"7033 Micawber St",1
"726 Westmoreland Place",1
"758 Woodhouse St",1
"76 Dawber St #6",1
"76 Paulton St",1
"763 Roscoe St",1
"7643 Campbell St",1
"7866 Renshaw St #283",1
"794 Hook St",1
"8 Breckfield Road North",1
"8 Chestnut St",1
"8 Heathfield St #657",1
"8 Jacob St",1
"8 Moor Place",1
"8 Nova Scotia",1
"821 Pembroke Place",1
"8289 Cadogan St",1
"8361 Cottenham St",1
"8388 Bessemer St #5",1
"845 Atherton St",1
"85 Hero St",1
"8657 Cedar St #2",1
"869 Luke St",1
"87 Eldon Place",1
"87 Pownall Sq",1
"8830 Antonio St",1
"8921 Forge St",1
"8977 Old Leeds St #87",1
"9 Cropper St",1
"9 Cypress St",1
"9 Duckenfield St",1
"9 Fielding St",1
"9 Mather St",1
"907 Denman St",1
"91 Ludlow St",1
"92 Phythian St #614",1
"9205 Upper Hill St",1
"9283 Ruth St #81",1
"9302 Ismay St #6",1
"9362 Solomon St #97",1
"9472 Lind St",1
"9548 Ogwen St #84",1
"9730 Dunnet St",1
"9874 Oakfield Rd",1
"99 Guthrie St",1
"9923 Dinorben St #4838",1
"Abbey Road Ward",1
"Abbey Ward",1
"Abingdon on Thames",1
"Acton Central Ward",1
"Acton Trussell and Bednall",1
"Addlestone Bourneside Ward",1
"Aldridge Central and South War",1
"Almond Ward",1
"Alphington Ward",1
"Amersham",1
"Appleton Wiske",1
"Ashford Common Ward",1
"Aspley Ward",1
"Astley Bridge Ward",2
"Audley Ward",1
"Aveton Gifford",1
"Aylesbury",1
"Banchory and Mid Deeside Ward",1
"Bangor Community",1
"Bargate Ward",1
"Barlow",1
"Barnfield Ward",1
"Barnham",1
"Batchwood Ward",1
"Bellingham",1
